#
# FPS Robot Array Configuration
#
# Focal Plane Layout 2 - Rings & Things Configuration
# 2018 Jan 28 [rwp/osu]
#
# ID = a unique integer identifier for the robot
# Row = row number (Y-axis, -14 to +14, 0 is center row)
# Pos = position in row (X-axis, 0 to N_row-1, increasing with +x)
# X,Y = X,Y position in mm relative to field center (0,0)
# Assignment = position assignment
#    BA = BOSS+APOGEE Fibers
#    BOSS = BOSS Fiber (no APOGEE fiber)
#    Fiducial = Fixed Illuminated Fiducial
# Sextant = sextant number (-1 for fiducials)
#
# Totals:
#    500 robots: 300 B+A, 200 BOSS-only
#     72 Fiducials
#
# ID     Row   Pos     X (mm)  Y (mm)          Assignment     Sextant
   0     -14    0     -156.8  -271.5856         Fiducial         -1
   1     -14    1     -134.4  -271.5856               BA          1
   2     -14    2     -112.0  -271.5856               BA          1
   3     -14    3      -89.6  -271.5856               BA          1
   0     -14    4      -67.2  -271.5856         Fiducial         -1
   4     -14    5      -44.8  -271.5856               BA          1
   5     -14    6      -22.4  -271.5856               BA          1
   0     -14    7        0.0  -271.5856         Fiducial         -1
   6     -14    8       22.4  -271.5856               BA          1
   7     -14    9       44.8  -271.5856               BA          1
   0     -14   10       67.2  -271.5856         Fiducial         -1
   8     -14   11       89.6  -271.5856               BA          1
   9     -14   12      112.0  -271.5856               BA          1
  10     -14   13      134.4  -271.5856               BA          1
   0     -14   14      156.8  -271.5856         Fiducial         -1
  11     -13    0     -168.0  -252.1866               BA          1
  12     -13    1     -145.6  -252.1866               BA          1
  13     -13    2     -123.2  -252.1866             BOSS          1
  14     -13    3     -100.8  -252.1866             BOSS          1
  15     -13    4      -78.4  -252.1866             BOSS          1
  16     -13    5      -56.0  -252.1866             BOSS          1
  17     -13    6      -33.6  -252.1866               BA          1
  18     -13    7      -11.2  -252.1866             BOSS          1
  19     -13    8       11.2  -252.1866             BOSS          1
  20     -13    9       33.6  -252.1866               BA          1
  21     -13   10       56.0  -252.1866             BOSS          1
  22     -13   11       78.4  -252.1866             BOSS          1
  23     -13   12      100.8  -252.1866             BOSS          1
  24     -13   13      123.2  -252.1866             BOSS          1
  25     -13   14      145.6  -252.1866               BA          1
  26     -13   15      168.0  -252.1866               BA          1
  27     -12    0     -179.2  -232.7876               BA          1
  28     -12    1     -156.8  -232.7876             BOSS          1
  29     -12    2     -134.4  -232.7876               BA          1
  30     -12    3     -112.0  -232.7876               BA          1
  31     -12    4      -89.6  -232.7876               BA          1
  32     -12    5      -67.2  -232.7876               BA          1
  33     -12    6      -44.8  -232.7876               BA          1
  34     -12    7      -22.4  -232.7876               BA          1
   0     -12    8        0.0  -232.7876         Fiducial         -1
  35     -12    9       22.4  -232.7876               BA          1
  36     -12   10       44.8  -232.7876               BA          1
  37     -12   11       67.2  -232.7876               BA          1
  38     -12   12       89.6  -232.7876               BA          1
  39     -12   13      112.0  -232.7876               BA          1
  40     -12   14      134.4  -232.7876               BA          1
  41     -12   15      156.8  -232.7876             BOSS          1
  42     -12   16      179.2  -232.7876               BA          1
  43     -11    0     -190.4  -213.3887               BA          1
  44     -11    1     -168.0  -213.3887             BOSS          1
  45     -11    2     -145.6  -213.3887               BA          1
   0     -11    3     -123.2  -213.3887         Fiducial         -1
  46     -11    4     -100.8  -213.3887             BOSS          1
  47     -11    5      -78.4  -213.3887             BOSS          1
   0     -11    6      -56.0  -213.3887         Fiducial         -1
  48     -11    7      -33.6  -213.3887             BOSS          1
  49     -11    8      -11.2  -213.3887             BOSS          1
  50     -11    9       11.2  -213.3887             BOSS          1
  51     -11   10       33.6  -213.3887             BOSS          1
   0     -11   11       56.0  -213.3887         Fiducial         -1
  52     -11   12       78.4  -213.3887             BOSS          1
